14,1401,7월 후반,하코다테 주니어 스테이크스,,G3,하코다테,잔디,1200,우,,단거리
14,1402,7월 후반,츄쿄 주니어 스테이크스,,OP,츄쿄,잔디,1600,좌,,마일
15,1501,8월 전반,달리아상,,OP,니가타,잔디,1400,좌,내측,단거리
15,1502,8월 전반,피닉스상,,OP,고쿠라,잔디,1200,우,,단거리
15,1503,8월 전반,코스모스상,,OP,삿포로,잔디,1800,우,,마일
16,1601,8월 후반,니이가타 주니어 스테이크스,,G3,니이가타,잔디,1600,좌,외측,마일
16,1602,8월 후반,클로버상,,OP,삿포로,잔디,1500,우,,단거리
17,1701,9월 전반,삿포로 주니어 스테이크스,,G3,삿포로,잔디,1800,우,,마일
17,1702,9월 전반,코쿠라 주니어 스테이크스,,G3,코쿠라,잔디,1200,우,,단거리
17,1703,9월 전반,스즈란상,,OP,삿포로,잔디,1200,우,,단거리
17,1704,9월 전반,노로기쿠 스테익스,,OP,한신,잔디,1800,우,외측,마일
17,1705,9월 전반,아스터상,,Pre-OP,나카야마,잔디,1600,우,외측,마일
18,1801,9월 후반,기쿠우 스테이크스,,OP,한신,잔디,1400,우,내측,단거리
18,1802,9월 후반,히비스쿠스 스테이크스,,OP,나카야마,잔디,2000,우,내측,중거리
18,1803,9월 후반,카난 스테이크스,,OP,나카야마,잔디,1200,우,외측,단거리
18,1804,9월 후반,사프란상,,Pre-OP,나카야마,잔디,1600,우,외측,마일
19,1901,10월 전반,플래타누스상,,Pre-OP,도쿄,더트,1600,좌,,마일
19,1902,10월 전반,사우디아라비아 로열컵,,G3,도쿄,잔디,1600,좌,,마일
19,1903,10월 전반,모미지 스테이크스,,OP,교토,잔디,1400,우,외측,단거리
19,1904,10월 전반,린도우상,,Pre-OP,교토,잔디,1400,우,외측,단거리
19,1905,10월 전반,시키쿠상,,Pre-OP,교토,잔디,2000,우,내측,중거리
20,2001,10월 후반,나데시코상,,Pre-OP,교토,더트,1800,우,,마일
20,2002,10월 후반,아르테미스 스테이크스,,G3,도쿄,잔디,1600,좌,,마일
20,2003,10월 후반,아이비 스테이크스,,OP,도쿄,잔디,1800,좌,,마일
20,2004,10월 후반,사철쑥 스테이크스,,OP,교토,잔디,1800,우,외측,마일
21,2101,11월 전반,옥살리스상,,Pre-OP,도쿄,더트,1400,좌,,단거리
21,2102,11월 전반,케이오배 주니어 스테이크스,,G2,도쿄,잔디,1400,좌,,단거리
21,2103,11월 전반,Mainichi Hai Nisai Stakes,,G2,교토,잔디,1600,우,외측,마일
21,2104,11월 전반,판타지 스테이크스,,G3,교토,잔디,1400,우,외측,단거리
21,2105,11월 전반,후쿠시마 주니어 스테이크스,,OP,후쿠시마,잔디,1200,우,,단거리
21,2106,11월 전반,百日草特别,,Pre-OP,도쿄,잔디,2000,좌,,중거리
21,2107,11월 전반,もんもくせい特別,,Pre-OP,후쿠시마,잔디,1800,우,,마일
21,2108,11월 전반,황국화상,,Pre-OP,교토,잔디,2000,우,내측,중거리
22,2201,11월 후반,카틀레야상,,Pre-OP,도쿄,더트,1600,좌,,마일
22,2202,11월 후반,도쿄 스포츠배 2세 스테이크스,,G3,도쿄,잔디,1800,좌,,마일
22,2203,11월 후반,교토 2세 스테이크스,,G3,교토,잔디,2000,우,내측,중거리
22,2204,11월 후반,감탕나무상,,Pre-OP,교토,더트,1800,우,,마일
22,2205,11월 후반,아카마츠상,,Pre-OP,도쿄,잔디,1600,좌,,마일
22,2206,11월 후반,슈메이기쿠상,,Pre-OP,교토,잔디,1400,우,외측,단거리
22,2207,11월 후반,베고니아상,,Pre-OP,도쿄,잔디,1600,좌,,마일
22,2208,11월 후반,시라기쿠상,,Pre-OP,교토,잔디,1600,우,외측,마일
22,2209,11월 후반,하보탄상,,Pre-OP,나카야마,잔디,2000,우,내측,중거리
22,2210,11월 후반,고야마키상,,Pre-OP,츄쿄,잔디,1600,좌,,마일
23,2301,12월 전반,칸츠바키상,,Pre-OP,츄쿄,더트,1400,,,단거리
23,2302,12월 전반,한신 주니어 필리스,,G1,한신,잔디,1600,우,외측,마일
23,2303,12월 전반,아사히배 퓨처러티 스테이크스,,G1,한신,잔디,1600,우,외측,마일
23,2304,12월 전반,만료상,,Pre-OP,한신,잔디,1400,,,단거리
23,2305,12월 전반,쿠로마츠상,,Pre-OP,나카야마,잔디,1200,,,단거리
23,2306,12월 전반,에리카상,,Pre-OP,한신,잔디,2000,우,내측,중거리
